title,text,subject,date
"Alien Contact Confirmed by Secret Government File","Secret files leaked today show that the government has been in contact with aliens since the 1950s.","Space","2023-01-01"
"Local Man Discovers Tree that Grows Gold Coins","A gardener in Ohio claims his apple tree started producing solid gold coins instead of fruit.","Odd","2023-04-01"
"Drinking Water Causes Immediate Superpowers","A viral social media post claims that a specific mineral in tap water gives people the ability to fly.","Health","2023-02-15"
"Bitcoin Reaches One Billion Dollars per Coin","The cryptocurrency markets exploded overnight as Bitcoin hit the billion dollar mark in minutes.","Finance","2023-05-20"
"NASA Admits the Moon is Made of Literal Cheese","In a shocking press conference, NASA scientists confirmed that the moon is actually dairy-based.","Science","2023-06-01"
"Hoverboards are Now Mandatory for All Citizens","The government has passed a law requiring everyone to ride hoverboards to work to save the roads.","Politics","2023-07-04"
"Talking Cats Take Over High Court Judge Positions","For the first time in history, a group of felines has been sworn in as high court judges.","Odd","2023-08-12"
"Magic Wand Discovered in Ancient Egyptian Tomb","Archeologists found a stick that can actually perform magic spells during a dig near Cairo.","History","2023-09-20"
"WiFi Signals Found to Cure Cold and Flu Instantly","New research from a fake university says that standing near a router kills all viruses.","Technology","2023-10-10"
"Time Traveler Returns from 3023 with Dark News","A man claiming to be from the future says that robots will take over and ban all humans.","Future","2023-11-11"
